gridkey_on,gridkey_off,count
112100320302,112100321202,1
112102110210,112102110211,1
112100321333,112100323121,10
112102101012,112102101003,3
112100322302,112100322313,2
112100321333,112100321212,1
112102112201,112100332232,1
112100320133,112100323023,2
112100323021,112100321321,3
112103100133,112103101200,1
112102223210,112102223032,3
112100323031,112100320311,3
112100323013,112100330231,2
112100323010,112100321333,7
112101121031,112101103332,1
112100323031,112100323110,147
112100323120,112102101030,1
112100322313,112100321323,1
112100320311,112100321221,5
112100321300,112100321300,11
112100322133,112100322311,95
112100320302,112100320310,1
112100331321,112101220221,3
112102032113,112102223311,1
112100321312,112100323130,1
112100323110,112100323133,1
112100323002,112100332310,1
112100321202,112100320133,9
112100320123,112100320132,2
112101203312,112101203130,1
112100231011,112100231120,1
112100231011,112100302221,1
112102133313,112102133313,1
112102110211,112100332011,1
112100303322,112100303233,1
112100330132,112100321313,1
112100321313,112100323012,2
112100332102,112100332100,21
112100321322,112102012330,1
112102112130,112102311211,1
112100323020,112100323002,258
112100321332,112100321320,8
112100320133,112100321100,1
112100332032,112100332023,7
112100300321,112100300321,2
112100323101,112100321313,7
112100323110,112100321221,3
112102111023,112102111023,65
112100323031,112102100122,1
112100311133,112100311133,8
112103030332,112103030332,1
112101222110,112101220332,1
112100321232,112100320312,1
112100312121,112100303133,2
112100332203,112102110310,1
112100321322,112100323130,8
112102011223,112102011233,1
112100321210,112100321212,8
112102122322,112102122322,1
112100323011,112100321323,18
112100323011,112100323000,6
112100330210,112100330032,1
112100303130,112100310011,1
112100332233,112100332033,1
112100330302,112100323102,1
112100313301,112100313301,3
112100323121,112100322331,1
112100321302,112100321320,1
112100323102,112100333313,2
112100321230,112100330112,1
112102131321,112102131330,1
112100320310,112100320133,129
112102013203,112102221113,1
112100311303,112100311320,3
112100323133,112100323100,11
112100332113,112100323120,1
112100321231,112100321223,13
112100330201,112100323131,3
112100322322,112100323100,2
112100312330,112100330120,1
112100321331,112100323023,1
112100321233,112100321022,1
112102111033,112102110120,1
112100330221,112100321230,1
112101023222,112100313303,1
112102131000,112102131000,1
112100323212,112100323230,1
112101223331,112100323102,1
112100321331,112100321132,1
112100323131,112100323121,167
112101222200,112100333311,1
112100320322,112100322100,1
112100332002,112100321320,1
112100323122,112100323211,52
112100323003,112100323100,77
112100323311,112100332322,1
112102121320,112102121213,1
112100323200,112100323122,6
112100323122,112100323300,52
112100323013,112100323220,2
112100113333,112100113333,3
112100332012,112100332021,4
112102100013,112102100012,2
112100330321,112100330330,48
112100320133,112100320123,9
112100323102,112100332202,2
112102211321,112102211321,1
112100323023,112100323011,22
112100321323,112100323122,2
112100321221,112100323100,43
112100323101,112100321311,5
112101222101,112101222022,1
112100323023,112100322313,17
112100330322,112100330331,1
112100323102,112100302222,1
112100323122,112100332033,1
112101222100,112101222110,1
112100323123,112100322302,3
112100213223,112100213023,1
112101230022,112101230022,1
112100321322,112100321321,52
112100320331,112100321223,1
112100323121,112100330231,1
112100323132,112100321333,4
112100231222,112100230232,1
112100332310,112100332132,5
112100332212,112100332212,8
112100323110,112100323201,1
112102100202,112100323102,1
112100323120,112100323212,2
112100333100,112100333100,1
112100323302,112100321313,1
112102121322,112102310310,1
112102100112,112102100103,1
112100323113,112100332212,1
112100321313,112100321310,107
112100323201,112100323120,9
112100230013,112100202232,1
112100330233,112100323003,1
112100332003,112100323003,2
112100323031,112100323112,124
112100321312,112100321321,3
112100321231,112100323113,3
112102110130,112100323110,1
112100231011,112100323102,1
112100323031,112100322133,3
112100332212,112102111023,1
112100330302,112100323101,1
112100323002,112100322013,1
112103101023,112103100311,2
112100321313,112100330223,1
112100321311,112100321232,1
112100323013,112100322331,1
112100323110,112100332113,1
112100312222,112100303333,2
112100332021,112100323301,1
112102123133,112100323033,1
112100323023,112103000203,1
112102313100,112103220221,1
112100323010,112100330201,1
112100332100,112100323031,1
112100323322,112100323120,1
112102112131,112102112131,2
112100321332,112102100221,1
112101223103,112101232011,1
112100213022,112100213022,1
112100323033,112100323330,1
112100131023,112101020103,1
112100321231,112100330112,1
112100321230,112100332022,2
112100330322,112100332002,2
112100321230,112100321223,93
112100333123,112100333123,2
112100323003,112100323120,132
112100323023,112100323030,463
112100323331,112100332202,21
112100321312,112100323112,2
112100323031,112100321321,1
112100321311,112100321310,8
112100321200,112100321021,1
112100323132,112100323232,1
112102113030,112102113022,1
112100321320,112100320133,1
112100322313,112100323023,13
112100333122,112101223103,1
112102102103,112102102103,4
112100321221,112100323111,1
112100323211,112100323013,38
112100321300,112100321212,4
112100330222,112100321320,1
112100323121,112100323101,84
112100320022,112100320210,1
112100321320,112100321331,2
112101021232,112101020110,1
112102112001,112102123133,1
112100323013,112100323102,3840
112100321221,112100323120,7
112100323100,112100321301,1
112100320133,112100320121,1
112100321231,112100323233,2
112100320133,112100321323,4
112100332011,112100322322,1
112100323203,112100321233,1
112100321212,112100323101,1
112103222032,112103222203,1
112100323102,112100321313,31
112100322133,112100323201,1
112100321313,112100321232,1
112100323003,112100323111,2
112100323021,112100323110,7
112100323300,112100323013,8
112100323100,112100332003,23
112100323201,112100323100,2
112100322302,112100323033,2
112102110020,112102110020,1
112100323320,112100323321,1
112100323200,112100323032,12
112102103020,112102103203,1
112100332033,112100323013,11
112100323213,112100323320,1
112100323122,112100332021,1
112100321331,112100321323,15
112100330321,112100330303,2
112103202200,112103202022,1
112100323312,112100323233,3
112100323121,112100323331,4
112102321212,112102321201,1
112101213233,112101231111,1
112100332010,112100332102,1
112100330022,112100330223,2
112100330220,112100321230,5
112101310122,112101131300,1
112102100203,112102100212,12
112100332021,112100332002,35
112100320231,112100320212,1
112100322310,112100323003,2
112102231201,112102231201,30
112100330221,112100330323,2
112102101031,112102101120,1
112100323002,112100323021,347
112100321322,112100323112,6
112100323032,112100323003,26
112100330302,112100330231,2
112100332322,112102111220,1
112100330322,112100321332,12
112100323011,112100323023,26
112100330223,112100330202,6
112100323103,112100321122,2
112100323120,112100330330,1
112100323132,112100323013,26
112100323121,112100231120,1
112100332012,112100332033,1
112100323220,112102100221,1
112102110012,112100323131,1
112100221223,112100320200,1
112102100110,112102100111,5
112100323122,112100330322,2
112100332000,112100332001,13
112102110123,112100332322,1
112100321111,112100303133,1
112100303133,112100321323,1
112102100212,112100321233,2
112100321212,112100323102,3
112101022331,112101022331,3
112100323231,112100323123,18
112100331330,112100331332,7
112100331231,112100331231,4
112100322102,112100322101,6
112100323310,112100332202,1
112100323120,112100321331,3
112100323013,112100323101,276
112100323320,112100323211,4
112102012320,112102012320,1
112102110121,112102111101,1
112100323130,112100323132,231
112100323100,112100322310,1
112102102121,112100323132,1
112100323121,112100323102,1054
112100321322,112100323110,71
112100332122,112100323112,1
112100323112,112100321221,2
112100330322,112100330213,6
112100322302,112100323030,1
112100323110,112100322311,4
112100321333,112100323131,12
112100321331,112100330230,2
112100321323,112100321330,6
112100323013,112102013031,1
112101023223,112101201103,1
112102100011,112100323202,1
112100213232,112100231011,1
112100323023,112102100110,3
112100332021,112100330222,1
112100323210,112100322312,2
112102033213,112102033320,4
112100323013,112100332010,1
112103032100,112103032100,26
112103023231,112103201100,1
112103032320,112103211212,2
112100332022,112100332212,1
112100323120,112100320133,3
112100321230,112100323113,4
112100321221,112100320310,14
112100321233,112100103201,1
112100323130,112100323010,3
112100333122,112100321230,1
112100323003,112100321202,1
112103022032,112103022203,1
112100323112,112100323133,3
112100320102,112100323011,1
112100323120,112100322110,1
112102110203,112102103213,1
112100323021,112100323112,5
112102102110,112100323231,1
112100321323,112100321303,1
112100323032,112102101012,1
112102211213,112102211213,15
112100321020,112100321021,5
112100330201,112100323121,3
112101201103,112101201101,6
112100323111,112100320133,1
112102113223,112102131202,1
112100323102,112100321311,4
112100323123,112100323200,1
112100321232,112100323123,22
112100323013,112100323302,2
112102320032,112102320032,12
112100333023,112101222121,1
112102110223,112102132211,1
112102111212,112102111211,2
112100323010,112100323013,683
112100300132,112100300123,2
112100323131,112100323131,6542
112100322033,112100322122,2
112100320332,112100323002,2
112100321311,112100323012,1
112100323133,112100323120,18
112100323111,112100321331,17
112103222030,112103222030,7
112100323013,112100323331,6
112100303132,112100303133,1
112100321221,112100321202,16
112100332012,112100332031,33
112100321312,112100323110,3
112100323222,112102101020,1
112102110012,112102133321,1
112100323002,112100323031,126
112100323031,112100323130,53
112100323023,112100323033,75
112100323003,112100322121,1
112100321023,112100321022,3
112100333013,112100333013,3
112100323210,112100321230,1
112100323130,112100332232,1
112100323023,112100323103,34
112102030111,112100323031,1
112100323012,112102012332,1
112102031111,112102031110,27
112100323033,112100323230,6
112100331321,112100331322,3
112100323003,112100330321,1
112100323021,112100322133,1
112102121032,112102120313,1
112100230313,112100231120,1
112102012321,112102011303,1
112100323102,112102101013,1
112102020002,112102020021,5
112100323110,112100323132,7
112100313222,112100323112,1
112100332003,112100332031,16
112100321230,112100323021,1
112100332212,112100332331,1
112100312313,112100330120,1
112100321333,112100330021,1
112100321323,112100331330,1
112100212100,112100213022,2
112100323211,112102120120,1
112100330220,112100330223,12
112100331332,112100331330,6
112100332031,112100323301,1
112100323212,112100323023,2
112101200230,112101200203,1
112101032320,112101032130,1
112100333130,112100333130,2
112100321333,112100323101,31
112100323202,112100323002,3
112100332001,112100323002,1
112100321011,112100303233,1
112100330302,112100330302,39
112103020312,112103020303,1
112100303213,112100303213,1
112100321332,112100330221,5
112100331022,112100331200,1
112100323102,112102110131,1
112100323113,112100321233,1
112100332101,112100332112,1
112100321131,112100321112,1
112100321021,112100320133,179
112100323013,112100323131,162
112100321321,112100321221,7
112100323001,112102012332,1
112100321212,112100321300,5
112100321233,112100323130,2
112100323213,112100323212,27
112102122003,112102122003,1
112100323130,112100322311,1
112100323010,112100332002,6
112102120120,112102033133,1
112102012313,112102012232,1
112102112201,112100321221,1
112100322312,112100323031,4
112102100102,112102100103,2
112101222220,112101222221,21
112100323111,112100332003,4
112100323031,112102012130,1
112100320311,112100323010,2
112100330023,112100330023,25
112100331330,112102110122,1
112103000002,112101222202,1
112100321021,112100303233,1
112100332030,112100332122,1
112100331200,112100323013,1
112100231103,112100323011,1
112100323030,112100323023,474
112100333122,112100323012,1
112102111211,112102111032,2
112100323200,112100322321,1
112101222103,112101222102,2
112100323120,112100332003,38
112100323110,112100323010,12
112102110102,112100332203,1
112100313312,112100313321,1
112100322303,112100323030,2
112100321023,112100320311,1
112101033022,112101033020,1
112100323100,112100322333,1
112100323010,112100321332,5
112100330201,112100330231,2
112102221310,112102221310,3
112102101020,112100323013,2
112102031111,112102120120,2
112100321312,112102110121,1
112100323131,112100323101,84
112102111021,112100323013,1
112100323120,112100322130,1
112100323100,112100330330,1
112100332310,112100323130,1
112100321230,112100321312,14
112100323002,112100321223,4
112102100132,112102100132,12
112100323120,112100332302,1
112102111300,112102111300,1
112100323210,112100323012,2
112100321311,112100321230,2
112100321333,112100323331,1
112102120302,112102120302,20
112100312103,112100312121,1
112100323112,112100320210,1
112100323203,112100323203,62
112102110012,112100323102,2
112100322302,112100323122,2
112100320210,112100323013,2
112102120232,112100323120,1
112103220032,112103220032,1
112102012130,112102012131,1
112100321223,112100321322,9
112100332021,112100323013,4
112100323100,112102011332,1
112100321230,112100323031,64
112100323103,112100321323,59
112100323103,112100323000,1
112100323030,112102101200,1
112100323120,112100322310,1
112100320200,112100320022,1
112102101120,112100323100,1
112100323132,112100323022,1
112103000300,112103000033,2
112100323132,112100332002,9
112100332003,112100332033,1
112100323012,112100332000,2
112102110123,112100323111,1
112100323121,112100323131,179
112102120300,112100321322,1
112100321230,112100321220,239
112100323100,112100321331,14
112100323211,112100321332,2
112100323020,112100322131,4
112100322012,112100322023,1
112100321333,112100323102,45
112100330222,112100321313,3
112100332001,112101222133,1
112100323122,112102102131,1
112100323031,112100330200,2
112102110123,112100323120,1
112100323100,112100320133,12
112100331030,112100323100,1
112102110301,112100323211,1
112100323033,112100321323,2
112100323033,112100323000,2
112102100300,112100323013,3
112101222200,112101222112,1
112102231212,112102231032,2
112100132013,112100122131,1
112100322303,112100323033,2
112102101201,112102101023,1
112100323102,112100321320,17
112100333201,112100333201,2
112102132221,112102132221,1
112102221301,112102221122,2
112100321231,112100321023,1
112100231001,112100230113,1
112100323123,112100323020,7
112100323010,112101222202,1
112100323320,112100323303,1
112100332033,112100321332,1
112100323222,112100323201,1
112100321233,112100321321,7
112100323200,112100323011,6
112100323031,112102100011,2
112102110223,112100323112,1
112100320132,112100320123,2
112100132300,112100132312,1
112100332011,112100330322,67
112100323131,112100323102,126
112101103333,112101103333,1
112100231011,112100231011,22
112100323023,112100323122,23
112100332002,112100330221,1
112100321323,112100323011,26
112102100033,112102010202,1
112100323000,112100323011,4
112100323122,112100323003,28
112100330322,112100323013,14
112100303333,112100321111,2
112100302002,112100302002,2
112100321332,112100323210,1
112102030310,112102030310,1
112100322311,112100323120,11
112102101210,112102033102,1
112102031333,112102031333,1
112100321320,112100332003,1
112100323200,112100322313,45
112100310323,112100312131,1
112100323002,112100332311,1
112100321232,112100330102,1
112100321232,112102033330,1
112100323032,112100330322,1
112100330232,112100330231,3
112102100103,112100323202,2
112100321210,112100323102,1
112100302002,112100231011,1
112102211320,112102211320,12
112100332200,112100332023,1
112100323032,112100323211,35
112100332002,112100321313,2
112102111101,112100331330,1
112100321231,112100321312,3
112100323132,112100323310,22
112102101120,112100323120,1
112100323030,112100332110,1
112100332011,112100332033,2
112100321233,112100323112,8
112100223120,112100223301,1
112102111200,112102110311,1
112100322300,112100323031,1
112102121320,112102121320,1
112100323032,112100323300,1
112100231001,112100231000,2
112100323113,112100321322,1
112100332232,112102110011,1
112102213213,112102213102,1
112102110133,112100323102,1
112102110311,112102111210,1
112100323201,112100332322,1
112100323131,112100322331,1
112102101022,112100323030,1
112100323023,112100323032,399
112100323132,112100323301,4
112102213202,112102231210,1
112100332133,112100333022,1
112101032320,112101033022,1
112100330221,112100330223,50
112100330223,112100332000,3
112100321211,112100323013,1
112102110123,112100323100,3
112100321212,112100323121,1
112100321212,112100321212,807
